Month,ShortCat,Value
2015 March,Motor Trades,113.3
2015 March,Food Stores,97.0
2015 March,Automotive Fuel,100.5
2015 March,Food Stores,97.4
2015 March,Department Stores,95.5
2015 March,Hardware & DIY,98.8
2015 March,Furniture & Lighting,97.4
2015 March,Bars,101.1
2015 March,Electrical Goods,97.0
2015 March,Clothing & Footwear,96.1
2015 March,Pharmacy & Cosmetics,99.6
2015 March,Department Stores,91.7
2015 March,Automotive Fuel,102.7
2015 March,Pharmacy & Cosmetics,89.0
2015 March,Motor Trades,108.8
2015 March,Clothing & Footwear,80.5
2015 March,Bars,90.8
2015 March,Furniture & Lighting,85.5
2015 March,Pharmacy & Cosmetics,92.0
2015 March,Clothing & Footwear,77.2
2015 March,Electrical Goods,77.7
2015 March,Bars,98.1
2015 March,Furniture & Lighting,88.8
2015 March,Hardware & DIY,91.1
2015 March,Automotive Fuel,99.8
2015 March,Department Stores,79.7
2015 March,Food Stores,96.4
2015 March,Motor Trades,141.5
2015 March,Electrical Goods,80.3
2015 March,Motor Trades,142.8
2015 March,Clothing & Footwear,97.3
2015 March,Bars,97.3
2015 March,Furniture & Lighting,97.4
2015 March,Hardware & DIY,101.4
2015 March,Food Stores,96.1
2015 March,Department Stores,75.5
2015 March,Automotive Fuel,100.1
2015 March,Hardware & DIY,90.4
2015 March,Electrical Goods,100.1
2015 March,Pharmacy & Cosmetics,98.1
2015 April,Motor Trades,104.5
2015 April,Automotive Fuel,103.4
2015 April,Hardware & DIY,110.0
2015 April,Furniture & Lighting,88.8
2015 April,Bars,94.5
2015 April,Electrical Goods,73.5
2015 April,Clothing & Footwear,92.3
2015 April,Pharmacy & Cosmetics,93.7
2015 April,Department Stores,85.4
2015 April,Food Stores,97.0
2015 April,Department Stores,102.6
2015 April,Pharmacy & Cosmetics,99.6
2015 April,Automotive Fuel,102.9
2015 April,Hardware & DIY,101.5
2015 April,Furniture & Lighting,92.5
2015 April,Bars,98.4
2015 April,Electrical Goods,95.9
2015 April,Clothing & Footwear,103.5
2015 April,Pharmacy & Cosmetics,98.8
2015 April,Motor Trades,122.3
2015 April,Motor Trades,92.5
2015 April,Food Stores,100.1
2015 April,Department Stores,99.5
2015 April,Automotive Fuel,101.0
2015 April,Motor Trades,98.9
2015 April,Furniture & Lighting,95.4
2015 April,Bars,101.7
2015 April,Electrical Goods,90.7
2015 April,Clothing & Footwear,104.0
2015 April,Food Stores,101.6
2015 April,Hardware & DIY,98.4
2015 April,Food Stores,101.4
2015 April,Automotive Fuel,103.9
2015 April,Pharmacy & Cosmetics,91.6
2015 April,Clothing & Footwear,91.9
2015 April,Electrical Goods,79.6
2015 April,Bars,88.4
2015 April,Furniture & Lighting,80.9
2015 April,Hardware & DIY,116.1
2015 April,Department Stores,88.9
2015 May,Electrical Goods,86.6
2015 May,Furniture & Lighting,75.5
2015 May,Hardware & DIY,113.4
2015 May,Automotive Fuel,106.3
2015 May,Department Stores,86.4
2015 May,Food Stores,99.1
2015 May,Motor Trades,91.9
2015 May,Motor Trades,89.9
2015 May,Food Stores,98.0
2015 May,Department Stores,84.8
2015 May,Automotive Fuel,100.2
2015 May,Hardware & DIY,99.7
2015 May,Furniture & Lighting,85.4
2015 May,Bars,103.2
2015 May,Electrical Goods,76.6
2015 May,Clothing & Footwear,88.7
2015 May,Pharmacy & Cosmetics,92.4
2015 May,Clothing & Footwear,95.6
2015 May,Pharmacy & Cosmetics,95.9
2015 May,Clothing & Footwear,91.5
2015 May,Pharmacy & Cosmetics,90.9
2015 May,Bars,101.6
2015 May,Pharmacy & Cosmetics,96.3
2015 May,Electrical Goods,103.4
2015 May,Clothing & Footwear,96.1
2015 May,Electrical Goods,96.7
2015 May,Bars,101.1
2015 May,Furniture & Lighting,98.9
2015 May,Hardware & DIY,88.3
2015 May,Automotive Fuel,97.6
2015 May,Department Stores,97.9
2015 May,Food Stores,98.7
2015 May,Motor Trades,95.3
2015 May,Food Stores,99.0
2015 May,Department Stores,98.3
2015 May,Automotive Fuel,101.2
2015 May,Motor Trades,97.4
2015 May,Hardware & DIY,91.4
2015 May,Furniture & Lighting,93.8
2015 May,Bars,100.5
2015 June,Department Stores,96.0
2015 June,Automotive Fuel,102.4
2015 June,Hardware & DIY,110.7
2015 June,Furniture & Lighting,93.4
2015 June,Bars,99.9
2015 June,Furniture & Lighting,95.5
2015 June,Hardware & DIY,102.2
2015 June,Automotive Fuel,105.2
2015 June,Department Stores,100.3
2015 June,Food Stores,99.1
2015 June,Motor Trades,97.3
2015 June,Pharmacy & Cosmetics,98.3
2015 June,Clothing & Footwear,97.8
2015 June,Pharmacy & Cosmetics,98.2
2015 June,Electrical Goods,80.3
2015 June,Food Stores,98.1
2015 June,Clothing & Footwear,99.5
2015 June,Motor Trades,70.7
2015 June,Pharmacy & Cosmetics,97.6
2015 June,Bars,96.3
2015 June,Clothing & Footwear,100.2
2015 June,Electrical Goods,87.8
2015 June,Bars,97.1
2015 June,Furniture & Lighting,97.7
2015 June,Hardware & DIY,111.4
2015 June,Automotive Fuel,111.3
2015 June,Department Stores,98.4
2015 June,Food Stores,98.0
2015 June,Motor Trades,71.7
2015 June,Bars,94.8
2015 June,Pharmacy & Cosmetics,98.2
2015 June,Motor Trades,96.8
2015 June,Food Stores,98.7
2015 June,Department Stores,99.1
2015 June,Automotive Fuel,99.6
2015 June,Hardware & DIY,102.1
2015 June,Furniture & Lighting,93.2
2015 June,Electrical Goods,95.7
2015 June,Electrical Goods,99.4
2015 June,Clothing & Footwear,98.4
2015 July,Clothing & Footwear,99.5
2015 July,Bars,98.9
2015 July,Furniture & Lighting,108.9
2015 July,Hardware & DIY,98.2
2015 July,Automotive Fuel,100.3
2015 July,Department Stores,99.9
2015 July,Food Stores,99.7
2015 July,Motor Trades,101.7
2015 July,Motor Trades,103.4
2015 July,Food Stores,100.2
2015 July,Department Stores,99.1
2015 July,Automotive Fuel,102.6
2015 July,Hardware & DIY,99.3
2015 July,Furniture & Lighting,97.9
2015 July,Bars,101.1
2015 July,Electrical Goods,100.7
2015 July,Pharmacy & Cosmetics,100.1
2015 July,Pharmacy & Cosmetics,96.4
2015 July,Clothing & Footwear,108.1
2015 July,Electrical Goods,87.9
2015 July,Bars,104.0
2015 July,Furniture & Lighting,104.1
2015 July,Hardware & DIY,106.8
2015 July,Automotive Fuel,99.0
2015 July,Electrical Goods,101.2
2015 July,Clothing & Footwear,99.3
2015 July,Pharmacy & Cosmetics,100.1
2015 July,Department Stores,93.9
2015 July,Motor Trades,140.8
2015 July,Food Stores,99.8
2015 July,Department Stores,90.3
2015 July,Automotive Fuel,101.8
2015 July,Hardware & DIY,107.8
2015 July,Furniture & Lighting,77.9
2015 July,Bars,110.0
2015 July,Food Stores,99.0
2015 July,Motor Trades,135.4
2015 July,Electrical Goods,85.7
2015 July,Clothing & Footwear,102.0
2015 July,Pharmacy & Cosmetics,95.8
2015 August,Automotive Fuel,99.5
2015 August,Motor Trades,89.6
2015 August,Food Stores,98.8
2015 August,Department Stores,91.4
2015 August,Electrical Goods,99.4
2015 August,Clothing & Footwear,105.3
2015 August,Pharmacy & Cosmetics,97.7
2015 August,Pharmacy & Cosmetics,96.2
2015 August,Clothing & Footwear,115.4
2015 August,Electrical Goods,90.5
2015 August,Bars,111.0
2015 August,Furniture & Lighting,110.4
2015 August,Hardware & DIY,99.3
2015 August,Automotive Fuel,96.9
2015 August,Pharmacy & Cosmetics,100.8
2015 August,Hardware & DIY,101.1
2015 August,Bars,116.0
2015 August,Furniture & Lighting,102.7
2015 August,Electrical Goods,102.8
2015 August,Motor Trades,91.7
2015 August,Food Stores,97.5
2015 August,Pharmacy & Cosmetics,99.4
2015 August,Clothing & Footwear,101.2
2015 August,Electrical Goods,100.5
2015 August,Bars,99.4
2015 August,Furniture & Lighting,103.7
2015 August,Hardware & DIY,99.7
2015 August,Automotive Fuel,98.9
2015 August,Department Stores,99.5
2015 August,Clothing & Footwear,106.4
2015 August,Motor Trades,105.2
2015 August,Department Stores,90.1
2015 August,Motor Trades,106.5
2015 August,Food Stores,100.0
2015 August,Department Stores,98.5
2015 August,Automotive Fuel,101.1
2015 August,Hardware & DIY,100.4
2015 August,Food Stores,100.6
2015 August,Furniture & Lighting,100.3
2015 August,Bars,102.2
2015 September,Clothing & Footwear,94.2
2015 September,Electrical Goods,101.9
2015 September,Bars,98.7
2015 September,Furniture & Lighting,103.7
2015 September,Hardware & DIY,98.5
2015 September,Electrical Goods,99.8
2015 September,Clothing & Footwear,100.3
2015 September,Automotive Fuel,102.3
2015 September,Department Stores,87.7
2015 September,Food Stores,96.7
2015 September,Motor Trades,89.7
2015 September,Pharmacy & Cosmetics,100.7
2015 September,Pharmacy & Cosmetics,96.6
2015 September,Bars,106.6
2015 September,Furniture & Lighting,104.0
2015 September,Food Stores,100.8
2015 September,Department Stores,100.4
2015 September,Motor Trades,106.7
2015 September,Automotive Fuel,101.1
2015 September,Hardware & DIY,104.1
2015 September,Furniture & Lighting,103.0
2015 September,Bars,96.4
2015 September,Electrical Goods,101.4
2015 September,Clothing & Footwear,101.2
2015 September,Pharmacy & Cosmetics,94.1
2015 September,Clothing & Footwear,93.6
2015 September,Electrical Goods,101.6
2015 September,Pharmacy & Cosmetics,101.5
2015 September,Furniture & Lighting,107.1
2015 September,Hardware & DIY,95.7
2015 September,Automotive Fuel,101.7
2015 September,Department Stores,88.1
2015 September,Food Stores,95.9
2015 September,Motor Trades,85.4
2015 September,Food Stores,100.2
2015 September,Department Stores,99.9
2015 September,Automotive Fuel,99.8
2015 September,Hardware & DIY,102.8
2015 September,Motor Trades,108.6
2015 September,Bars,99.3
2015 October,Department Stores,99.4
2015 October,Furniture & Lighting,111.3
2015 October,Bars,98.6
2015 October,Motor Trades,106.4
2015 October,Food Stores,102.0
2015 October,Automotive Fuel,98.9
2015 October,Automotive Fuel,96.7
2015 October,Hardware & DIY,99.6
2015 October,Electrical Goods,101.2
2015 October,Bars,101.0
2015 October,Electrical Goods,99.4
2015 October,Hardware & DIY,100.7
2015 October,Department Stores,99.4
2015 October,Pharmacy & Cosmetics,99.9
2015 October,Motor Trades,111.6
2015 October,Pharmacy & Cosmetics,91.7
2015 October,Clothing & Footwear,99.0
2015 October,Electrical Goods,93.8
2015 October,Bars,106.3
2015 October,Furniture & Lighting,90.5
2015 October,Hardware & DIY,95.1
2015 October,Automotive Fuel,97.5
2015 October,Department Stores,92.8
2015 October,Food Stores,102.1
2015 October,Motor Trades,63.7
2015 October,Clothing & Footwear,100.0
2015 October,Food Stores,102.3
2015 October,Pharmacy & Cosmetics,97.3
2015 October,Furniture & Lighting,102.9
2015 October,Clothing & Footwear,100.6
2015 October,Food Stores,101.8
2015 October,Motor Trades,75.4
2015 October,Hardware & DIY,97.8
2015 October,Furniture & Lighting,110.5
2015 October,Bars,100.9
2015 October,Electrical Goods,93.4
2015 October,Clothing & Footwear,97.4
2015 October,Pharmacy & Cosmetics,94.3
2015 October,Department Stores,91.2
2015 October,Automotive Fuel,99.9
2015 November,Clothing & Footwear,109.3
2015 November,Motor Trades,114.7
2015 November,Food Stores,102.1
2015 November,Department Stores,99.7
2015 November,Automotive Fuel,96.2
2015 November,Hardware & DIY,102.7
2015 November,Furniture & Lighting,105.9
2015 November,Bars,98.2
2015 November,Pharmacy & Cosmetics,101.8
2015 November,Electrical Goods,103.4
2015 November,Motor Trades,69.0
2015 November,Food Stores,104.6
2015 November,Department Stores,122.8
2015 November,Automotive Fuel,102.7
2015 November,Hardware & DIY,104.2
2015 November,Furniture & Lighting,122.0
2015 November,Bars,91.8
2015 November,Electrical Goods,138.2
2015 November,Clothing & Footwear,104.3
2015 November,Clothing & Footwear,100.6
2015 November,Motor Trades,49.7
2015 November,Food Stores,106.7
2015 November,Department Stores,123.1
2015 November,Automotive Fuel,100.6
2015 November,Hardware & DIY,98.7
2015 November,Furniture & Lighting,113.4
2015 November,Bars,100.9
2015 November,Electrical Goods,126.3
2015 November,Pharmacy & Cosmetics,104.3
2015 November,Pharmacy & Cosmetics,105.4
2015 November,Pharmacy & Cosmetics,101.1
2015 November,Hardware & DIY,100.0
2015 November,Department Stores,99.0
2015 November,Food Stores,102.5
2015 November,Furniture & Lighting,102.7
2015 November,Bars,99.6
2015 November,Electrical Goods,99.1
2015 November,Automotive Fuel,94.6
2015 November,Clothing & Footwear,100.0
2015 November,Motor Trades,104.5
2015 December,Food Stores,102.8
2015 December,Department Stores,99.4
2015 December,Automotive Fuel,100.9
2015 December,Electrical Goods,99.3
2015 December,Furniture & Lighting,110.3
2015 December,Bars,101.8
2015 December,Hardware & DIY,104.9
2015 December,Motor Trades,34.6
2015 December,Automotive Fuel,93.2
2015 December,Department Stores,197.8
2015 December,Pharmacy & Cosmetics,102.2
2015 December,Hardware & DIY,105.1
2015 December,Furniture & Lighting,136.0
2015 December,Bars,125.3
2015 December,Electrical Goods,179.6
2015 December,Motor Trades,107.1
2015 December,Pharmacy & Cosmetics,162.3
2015 December,Food Stores,101.7
2015 December,Food Stores,119.7
2015 December,Department Stores,99.1
2015 December,Clothing & Footwear,170.8
2015 December,Hardware & DIY,108.2
2015 December,Motor Trades,117.2
2015 December,Automotive Fuel,108.2
2015 December,Pharmacy & Cosmetics,100.3
2015 December,Clothing & Footwear,100.1
2015 December,Electrical Goods,103.2
2015 December,Bars,101.7
2015 December,Motor Trades,53.7
2015 December,Food Stores,117.4
2015 December,Clothing & Footwear,100.2
2015 December,Automotive Fuel,103.8
2015 December,Hardware & DIY,113.0
2015 December,Furniture & Lighting,114.9
2015 December,Bars,123.8
2015 December,Electrical Goods,188.9
2015 December,Clothing & Footwear,165.7
2015 December,Pharmacy & Cosmetics,142.7
2015 December,Furniture & Lighting,103.8
2015 December,Department Stores,191.7
2016 January,Pharmacy & Cosmetics,103.6
2016 January,Clothing & Footwear,104.8
2016 January,Electrical Goods,103.3
2016 January,Bars,108.1
2016 January,Furniture & Lighting,105.8
2016 January,Hardware & DIY,103.8
2016 January,Clothing & Footwear,87.0
2016 January,Bars,87.6
2016 January,Electrical Goods,112.8
2016 January,Pharmacy & Cosmetics,96.8
2016 January,Automotive Fuel,98.0
2016 January,Department Stores,99.7
2016 January,Food Stores,103.9
2016 January,Pharmacy & Cosmetics,89.0
2016 January,Motor Trades,113.6
2016 January,Furniture & Lighting,105.4
2016 January,Clothing & Footwear,78.6
2016 January,Automotive Fuel,91.1
2016 January,Department Stores,87.1
2016 January,Food Stores,97.0
2016 January,Motor Trades,188.3
2016 January,Motor Trades,114.4
2016 January,Food Stores,102.3
2016 January,Motor Trades,216.9
2016 January,Hardware & DIY,86.8
2016 January,Hardware & DIY,103.3
2016 January,Furniture & Lighting,102.2
2016 January,Bars,102.3
2016 January,Electrical Goods,96.5
2016 January,Clothing & Footwear,102.6
2016 January,Pharmacy & Cosmetics,99.6
2016 January,Automotive Fuel,92.1
2016 January,Food Stores,93.8
2016 January,Department Stores,96.6
2016 January,Automotive Fuel,86.4
2016 January,Electrical Goods,93.6
2016 January,Department Stores,78.7
2016 January,Bars,76.5
2016 January,Furniture & Lighting,118.5
2016 January,Hardware & DIY,83.8
2016 February,Bars,102.5
2016 February,Motor Trades,120.6
2016 February,Pharmacy & Cosmetics,105.2
2016 February,Department Stores,95.3
2016 February,Automotive Fuel,92.3
2016 February,Motor Trades,118.1
2016 February,Food Stores,105.9
2016 February,Bars,100.9
2016 February,Electrical Goods,98.9
2016 February,Clothing & Footwear,103.3
2016 February,Pharmacy & Cosmetics,102.2
2016 February,Department Stores,97.4
2016 February,Automotive Fuel,101.7
2016 February,Hardware & DIY,101.9
2016 February,Furniture & Lighting,106.9
2016 February,Electrical Goods,104.9
2016 February,Clothing & Footwear,102.7
2016 February,Food Stores,103.0
2016 February,Pharmacy & Cosmetics,93.1
2016 February,Motor Trades,180.6
2016 February,Food Stores,108.8
2016 February,Department Stores,78.1
2016 February,Automotive Fuel,106.3
2016 February,Furniture & Lighting,103.4
2016 February,Furniture & Lighting,100.1
2016 February,Bars,90.9
2016 February,Electrical Goods,86.5
2016 February,Clothing & Footwear,79.5
2016 February,Hardware & DIY,90.1
2016 February,Motor Trades,182.1
2016 February,Pharmacy & Cosmetics,100.8
2016 February,Clothing & Footwear,79.0
2016 February,Electrical Goods,79.7
2016 February,Bars,85.0
2016 February,Hardware & DIY,101.5
2016 February,Hardware & DIY,88.9
2016 February,Automotive Fuel,93.5
2016 February,Department Stores,73.0
2016 February,Food Stores,100.2
2016 February,Furniture & Lighting,132.3
2016 March,Motor Trades,114.0
2016 March,Department Stores,101.4
2016 March,Automotive Fuel,99.5
2016 March,Hardware & DIY,103.7
2016 March,Furniture & Lighting,108.6
2016 March,Bars,101.7
2016 March,Electrical Goods,104.2
2016 March,Clothing & Footwear,103.6
2016 March,Pharmacy & Cosmetics,105.5
2016 March,Food Stores,102.9
2016 March,Electrical Goods,98.9
2016 March,Food Stores,100.2
2016 March,Furniture & Lighting,103.5
2016 March,Hardware & DIY,103.1
2016 March,Automotive Fuel,89.8
2016 March,Department Stores,96.2
2016 March,Food Stores,101.5
2016 March,Motor Trades,114.1
2016 March,Pharmacy & Cosmetics,102.5
2016 March,Motor Trades,135.9
2016 March,Clothing & Footwear,102.4
2016 March,Pharmacy & Cosmetics,97.2
2016 March,Electrical Goods,83.4
2016 March,Bars,100.2
2016 March,Furniture & Lighting,97.4
2016 March,Hardware & DIY,101.6
2016 March,Clothing & Footwear,85.6
2016 March,Department Stores,83.9
2016 March,Department Stores,77.3
2016 March,Automotive Fuel,87.9
2016 March,Hardware & DIY,98.8
2016 March,Furniture & Lighting,89.9
2016 March,Bars,93.1
2016 March,Electrical Goods,79.6
2016 March,Clothing & Footwear,87.4
2016 March,Pharmacy & Cosmetics,91.6
2016 March,Automotive Fuel,98.4
2016 March,Bars,100.5
2016 March,Motor Trades,137.2
2016 March,Food Stores,101.9
2016 April,Motor Trades,110.7
2016 April,Department Stores,95.4
2016 April,Automotive Fuel,99.9
2016 April,Hardware & DIY,104.2
2016 April,Motor Trades,113.7
2016 April,Furniture & Lighting,108.6
2016 April,Electrical Goods,106.9
2016 April,Automotive Fuel,91.9
2016 April,Bars,102.0
2016 April,Food Stores,102.8
2016 April,Department Stores,94.3
2016 April,Food Stores,103.6
2016 April,Hardware & DIY,105.7
2016 April,Electrical Goods,84.7
2016 April,Bars,101.4
2016 April,Food Stores,103.0
2016 April,Clothing & Footwear,106.2
2016 April,Motor Trades,129.0
2016 April,Food Stores,100.0
2016 April,Department Stores,80.9
2016 April,Automotive Fuel,102.7
2016 April,Furniture & Lighting,101.8
2016 April,Hardware & DIY,110.3
2016 April,Bars,95.3
2016 April,Clothing & Footwear,91.1
2016 April,Pharmacy & Cosmetics,99.4
2016 April,Pharmacy & Cosmetics,100.9
2016 April,Clothing & Footwear,103.7
2016 April,Electrical Goods,102.1
2016 April,Furniture & Lighting,101.1
2016 April,Pharmacy & Cosmetics,104.7
2016 April,Department Stores,81.7
2016 April,Automotive Fuel,93.6
2016 April,Hardware & DIY,113.9
2016 April,Furniture & Lighting,88.3
2016 April,Bars,90.0
2016 April,Electrical Goods,84.4
2016 April,Clothing & Footwear,89.1
2016 April,Pharmacy & Cosmetics,94.1
2016 April,Motor Trades,147.6
2016 May,Department Stores,94.2
2016 May,Furniture & Lighting,81.8
2016 May,Hardware & DIY,132.0
2016 May,Automotive Fuel,102.2
2016 May,Department Stores,82.0
2016 May,Department Stores,96.5
2016 May,Food Stores,103.2
2016 May,Bars,105.4
2016 May,Automotive Fuel,103.2
2016 May,Motor Trades,111.6
2016 May,Electrical Goods,85.0
2016 May,Electrical Goods,102.1
2016 May,Pharmacy & Cosmetics,96.7
2016 May,Pharmacy & Cosmetics,102.1
2016 May,Clothing & Footwear,104.7
2016 May,Hardware & DIY,105.1
2016 May,Bars,104.5
2016 May,Furniture & Lighting,104.1
2016 May,Hardware & DIY,106.2
2016 May,Automotive Fuel,96.7
2016 May,Food Stores,101.8
2016 May,Motor Trades,111.3
2016 May,Clothing & Footwear,101.9
2016 May,Furniture & Lighting,111.1
2016 May,Bars,103.7
2016 May,Bars,106.2
2016 May,Clothing & Footwear,105.1
2016 May,Pharmacy & Cosmetics,105.1
2016 May,Motor Trades,104.0
2016 May,Food Stores,102.5
2016 May,Department Stores,82.6
2016 May,Motor Trades,104.0
2016 May,Pharmacy & Cosmetics,100.2
2016 May,Clothing & Footwear,99.8
2016 May,Electrical Goods,81.9
2016 May,Electrical Goods,105.7
2016 May,Furniture & Lighting,97.4
2016 May,Hardware & DIY,118.9
2016 May,Automotive Fuel,106.8
2016 May,Food Stores,102.0
2016 June,Automotive Fuel,103.3
2016 June,Clothing & Footwear,107.0
2016 June,Hardware & DIY,111.3
2016 June,Furniture & Lighting,105.9
2016 June,Bars,105.5
2016 June,Electrical Goods,90.9
2016 June,Pharmacy & Cosmetics,104.4
2016 June,Electrical Goods,110.4
2016 June,Food Stores,100.7
2016 June,Furniture & Lighting,108.4
2016 June,Department Stores,91.3
2016 June,Motor Trades,74.8
2016 June,Hardware & DIY,105.2
2016 June,Automotive Fuel,101.6
2016 June,Department Stores,96.3
2016 June,Food Stores,103.3
2016 June,Motor Trades,108.3
2016 June,Bars,104.5
2016 June,Pharmacy & Cosmetics,101.0
2016 June,Clothing & Footwear,106.3
2016 June,Electrical Goods,102.3
2016 June,Hardware & DIY,113.7
2016 June,Furniture & Lighting,106.7
2016 June,Bars,107.8
2016 June,Electrical Goods,91.1
2016 June,Clothing & Footwear,109.0
2016 June,Pharmacy & Cosmetics,103.3
2016 June,Food Stores,102.2
2016 June,Motor Trades,75.4
2016 June,Pharmacy & Cosmetics,102.3
2016 June,Clothing & Footwear,104.1
2016 June,Automotive Fuel,103.2
2016 June,Bars,104.5
2016 June,Furniture & Lighting,103.8
2016 June,Department Stores,92.2
2016 June,Automotive Fuel,96.6
2016 June,Department Stores,93.7
2016 June,Food Stores,101.9
2016 June,Motor Trades,106.1
2016 June,Hardware & DIY,102.2
2016 July,Electrical Goods,110.6
2016 July,Bars,103.0
2016 July,Furniture & Lighting,114.2
2016 July,Hardware & DIY,105.0
2016 July,Automotive Fuel,100.1
2016 July,Motor Trades,120.3
2016 July,Food Stores,104.6
2016 July,Bars,104.9
2016 July,Electrical Goods,100.2
2016 July,Clothing & Footwear,101.6
2016 July,Pharmacy & Cosmetics,101.3
2016 July,Department Stores,95.0
2016 July,Food Stores,102.7
2016 July,Furniture & Lighting,106.1
2016 July,Hardware & DIY,102.5
2016 July,Automotive Fuel,95.2
2016 July,Department Stores,91.5
2016 July,Food Stores,103.2
2016 July,Motor Trades,119.8
2016 July,Clothing & Footwear,103.2
2016 July,Pharmacy & Cosmetics,96.8
2016 July,Clothing & Footwear,104.5
2016 July,Electrical Goods,84.7
2016 July,Bars,114.9
2016 July,Hardware & DIY,109.8
2016 July,Automotive Fuel,94.4
2016 July,Motor Trades,168.3
2016 July,Department Stores,83.0
2016 July,Pharmacy & Cosmetics,103.2
2016 July,Furniture & Lighting,81.4
2016 July,Bars,107.8
2016 July,Food Stores,103.5
2016 July,Department Stores,88.6
2016 July,Automotive Fuel,99.7
2016 July,Hardware & DIY,111.7
2016 July,Clothing & Footwear,112.0
2016 July,Pharmacy & Cosmetics,98.8
2016 July,Furniture & Lighting,114.2
2016 July,Electrical Goods,95.9
2016 July,Motor Trades,165.4
2016 August,Furniture & Lighting,114.9
2016 August,Bars,97.4
2016 August,Electrical Goods,112.2
2016 August,Clothing & Footwear,106.7
2016 August,Department Stores,86.5
2016 August,Motor Trades,101.3
2016 August,Food Stores,99.5
2016 August,Hardware & DIY,109.3
2016 August,Hardware & DIY,107.1
2016 August,Pharmacy & Cosmetics,104.9
2016 August,Automotive Fuel,105.9
2016 August,Pharmacy & Cosmetics,101.0
2016 August,Food Stores,104.9
2016 August,Motor Trades,115.4
2016 August,Furniture & Lighting,109.4
2016 August,Clothing & Footwear,116.4
2016 August,Electrical Goods,99.6
2016 August,Bars,108.8
2016 August,Furniture & Lighting,123.9
2016 August,Hardware & DIY,108.3
2016 August,Automotive Fuel,102.2
2016 August,Department Stores,90.1
2016 August,Food Stores,102.5
2016 August,Motor Trades,101.1
2016 August,Department Stores,98.1
2016 August,Bars,114.5
2016 August,Motor Trades,113.7
2016 August,Clothing & Footwear,105.6
2016 August,Food Stores,102.7
2016 August,Department Stores,94.7
2016 August,Automotive Fuel,100.1
2016 August,Hardware & DIY,106.7
2016 August,Furniture & Lighting,108.5
2016 August,Bars,99.6
2016 August,Electrical Goods,101.6
2016 August,Clothing & Footwear,101.9
2016 August,Pharmacy & Cosmetics,103.6
2016 August,Electrical Goods,98.3
2016 August,Automotive Fuel,96.9
2016 August,Pharmacy & Cosmetics,100.5
2016 September,Hardware & DIY,100.9
2016 September,Motor Trades,85.7
2016 September,Food Stores,97.8
2016 September,Automotive Fuel,97.5
2016 September,Hardware & DIY,95.1
2016 September,Furniture & Lighting,112.3
2016 September,Pharmacy & Cosmetics,99.7
